,City,Country,Lat,Lon,Temp,Cloudiness,Humidity,Wind Speed
430,Stara Vyzhivka,UA,51.44,24.44,9.92,0,43,4.7
431,Alcântara,BR,-2.41,-44.41,26.0,75,88,1.0
432,Angoche,MZ,-16.23,39.91,25.41,53,77,4.99
433,Newport,GB,51.59,-3.0,25.0,63,28,3.1
434,Banda Aceh,ID,5.56,95.32,27.18,32,81,3.84
435,Kharabali,RU,47.42,47.26,13.42,47,38,4.81
436,Sørland,NO,67.67,12.69,1.75,100,79,4.49
437,Hvide Sande,DK,56.0,8.13,10.0,100,57,5.7
438,Biltine,TD,14.53,20.92,37.92,85,8,7.04
439,Ambilobe,MG,-13.2,49.05,26.27,3,77,2.19
440,Benguela,AO,-12.58,13.41,30.0,20,70,4.1
441,Shenjiamen,CN,29.96,122.3,11.19,100,83,11.67
442,Pangody,RU,65.85,74.49,2.48,100,97,8.24
443,Finsterwalde,DE,51.63,13.72,16.11,66,25,1.5
444,Solsona,ES,41.99,1.52,20.0,20,51,6.7
445,Adamantas,GR,36.73,24.43,19.0,0,42,4.1
446,Port Augusta,AU,-32.5,137.77,15.0,40,62,4.6
447,Mareeba,AU,-17.0,145.43,24.0,90,94,0.45
448,Saint-Joseph,RE,-21.37,55.62,26.0,73,69,6.2
449,Salalah,OM,17.02,54.09,29.0,75,70,4.1
450,Havøysund,NO,71.0,24.66,-2.0,100,86,2.07
451,Lázaro Cárdenas,MX,17.96,-102.2,27.6,4,61,1.51
452,Sundsvall,SE,62.39,17.31,3.33,97,59,6.2
453,Garden City,US,42.33,-83.33,11.11,40,43,6.2
454,Yārāda,IN,17.65,83.27,29.0,75,79,2.1
455,Salamiyah,SY,35.01,37.05,15.73,39,55,8.86
456,Bacabac,PH,15.73,120.42,25.0,75,88,3.1
457,Mankera,PK,31.39,71.44,31.64,48,29,1.5
458,Muravlenko,RU,63.79,74.52,2.27,100,94,9.19
459,Bud,US,39.45,-86.18,14.0,75,40,4.1
460,Port Lincoln,AU,-34.73,135.87,13.54,52,65,3.55
461,Tiksi,RU,71.69,128.87,-5.62,31,93,7.64
462,Haines Junction,CA,60.75,-137.51,-9.67,0,71,0.69
463,Vanimo,PG,-2.67,141.3,26.73,48,83,0.7
464,Malangali,TZ,-8.57,34.85,21.22,43,52,3.97
465,Kahului,US,20.89,-156.47,21.11,20,83,3.6
466,Savannah Bight,HN,16.45,-85.85,26.8,74,80,8.32
467,Constitución,CL,-35.33,-72.42,16.02,100,70,3.84
468,Pando,UY,-34.72,-55.95,22.22,40,60,1.5
469,Kununurra,AU,-15.77,128.73,25.0,90,83,2.1
470,Erzin,TR,36.96,36.2,19.0,20,63,4.1
471,Northam,GB,51.03,-4.22,20.0,87,52,1.34
472,Yar-Sale,RU,66.83,70.83,-0.19,100,97,6.64
473,Pakse,LA,15.12,105.78,26.85,14,70,1.09
474,Manali,IN,13.17,80.27,29.44,20,74,2.6
475,Todos Santos,MX,23.45,-110.22,22.78,40,46,4.1
476,Terrace,CA,54.52,-128.6,2.0,5,43,8.2
477,Karaton,ID,-6.34,106.1,27.0,40,78,3.6
478,Sitka,US,57.05,-135.33,2.0,1,69,1.69
479,Sambava,MG,-14.27,50.17,26.06,0,77,4.65
480,Carballo,ES,43.21,-8.69,15.56,75,87,1.5
481,Koboko,UG,3.41,30.96,28.73,100,34,1.93
482,Bubaque,GW,11.28,-15.83,26.14,0,75,4.86
483,Fuerte Olimpo,PY,-21.04,-57.87,31.97,0,28,0.16
484,Cap-aux-Meules,CA,47.38,-61.86,2.0,75,80,10.8
485,Kamariótissa,GR,40.48,25.47,17.0,0,67,2.1
486,Kichera,RU,55.94,110.1,5.36,100,51,0.35
487,Porkhov,RU,57.77,29.56,7.0,40,39,3.0
488,Jaisalmer,IN,26.91,70.92,34.58,52,16,4.28
489,Atambua,ID,-9.11,124.89,23.15,13,80,1.36
490,Mogadishu,SO,2.04,45.34,30.0,40,66,6.2
491,Boa Vista,BR,2.82,-60.67,34.0,75,44,6.7
492,Killarney,IE,52.05,-9.52,15.0,43,62,3.1
493,Ushibukamachi,JP,32.19,130.02,15.23,100,65,4.01
494,Kawalu,ID,-7.38,108.21,23.57,38,79,0.37
495,Majene,ID,-3.54,118.97,26.1,83,74,2.76
496,Tiznit Province,MA,29.58,-9.5,21.58,100,43,4.58
497,Buin,CL,-33.73,-70.75,19.0,75,59,1.0
498,Port-Gentil,GA,-0.72,8.78,27.0,40,83,4.1
499,Brandfort,ZA,-28.7,26.46,20.0,25,72,2.6
500,Pontianak,ID,-0.03,109.33,25.0,75,94,1.5
501,Montpelier,US,44.26,-72.58,4.44,90,55,7.2
502,Thana,PK,34.64,72.07,20.79,95,39,1.52
503,Krasnovishersk,RU,60.41,57.08,0.62,100,92,1.06
504,Lowestoft,GB,52.48,1.75,22.0,80,37,4.6
505,Muscat,OM,23.61,58.59,30.0,23,66,1.5
506,Soyo,AO,-6.13,12.37,31.0,40,74,3.1
507,Aktash,RU,50.3,87.73,-5.32,0,48,1.55
508,Dhār,IN,22.6,75.3,30.0,20,30,1.08
509,Okotoks,CA,50.73,-113.98,-4.44,90,73,4.6
510,Naze,JP,28.37,129.48,19.0,75,82,5.1
511,Zeya,RU,53.75,127.27,2.22,10,77,2.38
512,Saint-Augustin,CA,51.23,-58.65,0.68,100,94,3.34
513,Fort Nelson,CA,58.81,-122.7,-7.0,75,67,1.0
514,Mandurah,AU,-32.55,115.7,22.78,100,88,0.98
515,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,-1.0,75,74,2.0
516,Plouzané,FR,48.38,-4.62,22.0,0,52,3.6
517,Kodinsk,RU,58.69,99.18,-0.39,24,92,1.55
518,Kholm,RU,59.27,32.85,3.31,97,72,2.64
519,Can Tho,VN,10.03,105.78,26.7,16,72,3.03
520,Samarai,PG,-10.62,150.67,25.97,73,72,1.9
521,Hobyo,SO,5.35,48.53,29.25,0,61,6.28
522,Biak,ID,-0.91,122.88,27.27,5,69,4.07
523,Bograd,RU,54.23,90.83,-2.0,0,79,1.15
524,Henties Bay,NA,-22.12,14.28,23.33,0,67,3.13
525,Rawson,AR,-43.3,-65.1,16.29,7,31,8.73
526,Nyrob,RU,60.73,56.72,0.53,100,92,1.32
527,Krasnokamensk,RU,50.1,118.04,8.37,0,32,1.74
528,Río Gallegos,AR,-51.62,-69.22,12.0,40,34,11.8
529,Stanley,FK,-51.7,-57.85,10.0,90,87,2.6
530,Berekua,DM,15.23,-61.32,31.0,20,66,2.1
531,Kamaishi,JP,39.27,141.88,4.98,0,69,3.17
532,Praia,CV,14.92,-23.51,30.0,1,45,5.1
533,Vao,NC,-22.67,167.48,24.04,21,78,7.0
534,Cua,VE,10.16,-66.89,31.67,66,25,1.34
535,South Venice,US,27.05,-82.42,28.89,1,58,5.1
536,Ternate,ID,0.8,127.4,26.8,4,80,2.14
537,São Bernardo,BR,-3.36,-42.42,31.41,72,65,1.91
538,Mehamn,NO,71.04,27.85,-2.99,93,90,3.03
539,Ust-Kuyga,RU,70.02,135.6,-1.27,100,95,7.89
540,Yangi Marg`ilon,UZ,40.43,71.72,13.0,90,82,3.1
541,Rocha,UY,-34.48,-54.33,22.13,0,51,1.7
542,Makokou,GA,0.57,12.86,26.98,100,73,1.96
543,Dryden,CA,49.78,-92.75,-1.0,90,68,8.2
544,Oussouye,SN,12.48,-16.55,33.0,40,83,2.1
545,Dovolnoye,RU,54.5,79.67,-1.25,70,96,2.99
546,Koslan,RU,63.46,48.9,-2.4,98,91,1.14
547,Honiara,SB,-9.43,159.95,24.0,75,100,1.71
548,San Cristobal,VE,7.77,-72.22,33.0,40,46,7.2
549,Aykhal,RU,66.0,111.5,-1.0,87,58,3.0
550,Salitrillo,MX,19.43,-99.85,19.0,5,24,2.32
551,Pangnirtung,CA,66.15,-65.71,-8.0,75,67,1.5
552,Mitsamiouli,KM,-11.38,43.28,29.0,59,74,6.12
553,Sistranda,NO,63.73,8.83,7.22,100,65,3.6
554,Santana do Livramento,BR,-30.89,-55.53,21.19,0,48,3.1
555,Dickinson,US,29.46,-95.05,24.44,90,73,4.6
556,Kariba,ZW,-16.52,28.8,25.3,100,49,1.55
557,Sucúa,EC,-2.47,-78.17,20.0,90,94,1.5
558,Bella Vista,US,36.43,-94.23,19.0,40,42,7.2
559,Saint Anthony,US,45.02,-93.22,11.0,1,32,1.5
560,Iralaya,HN,15.0,-83.23,31.0,75,70,3.6
561,Serafimovskiy,RU,54.42,53.8,6.16,99,63,4.66
562,Karonga,MW,-9.93,33.93,25.79,8,67,4.96
563,Ranfurly,NZ,-45.13,170.1,9.34,100,57,2.93
564,Orange Cove,US,36.62,-119.31,15.0,54,100,0.85
565,Ancud,CL,-41.87,-73.82,12.0,40,58,3.6
566,Anjozorobe,MG,-18.4,47.87,18.0,40,93,3.6
567,Atar,MR,20.52,-13.05,37.84,0,9,3.42
568,Bambanglipuro,ID,-7.95,110.28,26.4,18,77,1.41
569,Inhambane,MZ,-23.86,35.38,25.09,100,68,3.81
570,Mapiripán,CO,2.89,-72.13,28.21,100,64,1.47
571,Nuuk,GL,64.18,-51.72,4.0,75,64,3.6
572,Morgantown,US,39.63,-79.96,11.0,20,42,2.1
573,Vilhena,BR,-12.74,-60.15,22.0,90,94,3.1
574,Planeta Rica,CO,8.41,-75.59,33.0,75,59,1.73
575,St. George's,GD,12.06,-61.75,30.0,20,66,9.3
576,Ellisras,ZA,-23.66,27.74,29.54,19,20,0.79
577,Bonthe,SL,7.53,-12.51,30.89,68,65,4.9
578,Namatanai,PG,-3.67,152.43,27.83,68,75,1.88
579,Kozhva,RU,65.11,57.05,-5.04,99,95,0.56
580,Alofi,NU,-19.06,-169.92,19.0,100,100,5.82
581,Fatehpur,IN,25.93,80.8,32.27,17,15,1.56
582,Deputatsky,RU,69.3,139.9,-5.02,96,92,5.86
583,Hirara,JP,24.8,125.28,21.91,92,86,0.94
584,Qasigiannguit,GL,68.82,-51.19,3.0,75,51,4.6
585,Santa Isabel Rio Negro,BR,-0.41,-65.02,28.95,92,70,0.92
586,Wiarton,CA,44.74,-81.13,4.44,75,64,5.7
587,Barcelos,PT,41.54,-8.62,18.89,20,82,5.1
588,Broken Hill,AU,-31.95,141.43,11.0,0,57,5.7
589,Valleyview,CA,55.07,-117.29,-8.13,0,87,2.77
590,Buraidah,SA,26.33,43.98,25.0,20,29,5.7
591,Khanbari,NP,27.37,87.2,19.45,70,30,2.33
592,Khāsh,IR,28.22,61.22,25.89,99,14,4.98
593,Peñarroya-Pueblonuevo,ES,38.3,-5.27,24.0,100,50,0.5
594,Nianzishan,CN,47.52,122.88,7.22,0,70,1.34
595,Killybegs,IE,54.63,-8.45,14.0,26,62,2.1
596,Palmer,US,42.16,-72.33,10.0,40,31,11.3
597,Smithers,CA,54.78,-127.17,-3.0,5,58,0.33
598,Aksu,CN,41.12,80.26,17.63,72,17,1.47
599,Perth,AU,-31.93,115.83,24.0,100,73,3.1
600,Marsh Harbour,BS,26.54,-77.06,22.59,94,72,5.96
601,Mikhaylov,RU,54.23,39.02,5.0,100,30,7.82
602,São João da Barra,BR,-21.64,-41.05,26.0,75,69,2.6
